GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year,CENSUS_Category,Population,Variable Code,Label,Type,Category,Detail
860Z200US99551,99551,860Z200US99551,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,138,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99552,99552,860Z200US99552,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,60,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99557,99557,860Z200US99557,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,213,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99559,99559,860Z200US99559,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,2190,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99561,99561,860Z200US99561,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,108,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99575,99575,860Z200US99575,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,9,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99578,99578,860Z200US99578,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,72,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99589,99589,860Z200US99589,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,36,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99607,99607,860Z200US99607,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,56,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99609,99609,860Z200US99609,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,128,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99614,99614,860Z200US99614,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,115,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99621,99621,860Z200US99621,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,178,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99622,99622,860Z200US99622,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,103,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99626,99626,860Z200US99626,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,61,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99630,99630,860Z200US99630,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,124,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99634,99634,860Z200US99634,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,182,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99637,99637,860Z200US99637,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,211,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99641,99641,860Z200US99641,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,153,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99651,99651,860Z200US99651,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,7,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99655,99655,860Z200US99655,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,287,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99656,99656,860Z200US99656,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,5,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
