Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Aztec,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Maya,Native Village of Barrow Inupiat Traditional Government,Navajo Nation,Nome Eskimo Community,Other American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Total housing units,"Citizen, 18 and over population",GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year
16563,8879,7684,115.6,1070,674,723,583,1097,3176,2631,1876,1061,871,1867,673,261,38.2,2732,14030,13831,13384,3272,2801,14809,1754,9085,1545,1497,0,0,0,11,0,14,1472,922,45,112,335,20,119,11,280,604,21,309,218,56,1156,208,453,197,484,36,42,1812,728,426,0,658,14751,8735,1430,1444,922,604,421,41,1154,8906,13167,860Z200US99501,99501,860Z200US99501,Anchorage Municipality,0500000US02020,02,Alaska,2023
26110,13237,12873,102.8,1417,2335,2173,1413,1308,4766,4536,2871,1606,1221,1399,940,125,34.4,6756,20066,19354,18556,3084,2464,22490,3620,15885,708,2704,0,0,0,98,0,0,2606,2281,0,134,987,305,618,14,223,46,0,21,25,0,866,159,1598,911,240,0,0,2163,1311,222,136,494,23947,15026,708,2458,2281,46,239,56,3133,9931,18926,860Z200US99502,99502,860Z200US99502,Anchorage Municipality,0500000US02020,02,Alaska,2023
12944,6353,6591,96.4,704,493,538,521,1171,2573,2111,1670,780,965,763,532,123,37.0,2004,11090,10940,10491,1850,1418,11300,1644,5934,1006,1896,0,0,0,0,98,0,1798,1915,35,109,1429,0,61,0,281,159,0,0,159,0,390,118,525,268,253,58,51,1086,559,83,60,384,11858,5527,1006,1875,1915,159,76,116,1184,7411,9973,860Z200US99503,99503,860Z200US99503,Anchorage Municipality,0500000US02020,02,Alaska,2023
41684,20734,20950,99.0,2773,3207,2518,2568,3021,6961,5493,4746,1851,2626,3565,1880,475,34.6,10137,32411,31547,29900,7671,5920,34285,7399,17420,4114,3954,0,0,2,66,0,56,3830,5565,20,177,2050,156,515,183,2464,2291,12,0,1507,772,941,613,2851,870,1239,447,61,3591,1077,529,193,1792,38093,16928,3944,3794,5543,2291,216,322,5055,17720,30093,860Z200US99504,99504,860Z200US99504,Anchorage Municipality,0500000US02020,02,Alaska,2023
5425,3348,2077,161.2,466,571,673,475,1261,904,884,139,7,12,17,16,0,21.4,1917,3608,3508,2836,33,33,4663,762,3573,653,59,0,0,0,0,0,0,59,203,0,46,108,6,0,0,43,21,0,0,21,0,154,245,78,143,240,13,15,1143,713,252,8,170,4282,2890,617,35,203,21,0,234,282,842,3414,860Z200US99505,99505,860Z200US99505,Anchorage Municipality,0500000US02020,02,Alaska,2023
7051,3835,3216,119.2,1057,542,244,263,2109,2025,432,121,152,39,40,27,0,23.2,1914,5179,5137,4576,93,67,5959,1092,4657,472,76,0,0,0,0,0,0,76,249,0,0,85,0,13,0,151,163,2,5,19,137,342,163,196,227,354,0,30,1247,860,178,5,204,5804,4177,462,76,249,163,13,21,643,2338,4994,860Z200US99506,99506,860Z200US99506,Anchorage Municipality,0500000US02020,02,Alaska,2023
36300,19070,17230,110.7,1872,2412,2237,2640,2324,6247,5111,4370,2373,2190,3194,969,361,35.6,8270,29206,28030,26779,5887,4524,32135,4165,20813,1496,2235,25,15,7,511,0,55,1622,5930,129,258,4013,82,546,11,891,965,0,152,779,34,696,815,1296,550,514,108,0,3256,1454,522,207,1073,33044,19406,1369,2174,5888,935,112,119,3041,14552,26318,860Z200US99507,99507,860Z200US99507,Anchorage Municipality,0500000US02020,02,Alaska,2023
36660,18160,18500,98.2,3367,2937,2593,2426,3159,5634,4486,4756,1892,1794,2308,976,332,32.3,10341,27214,26319,24839,4529,3616,31660,5000,15636,2361,3663,0,0,0,0,46,95,3522,4915,218,64,1850,72,190,105,2416,2917,0,188,2278,451,2168,670,1377,373,729,258,106,4659,1510,665,451,2033,32001,14049,2270,3623,4722,2879,520,160,3778,14219,24478,860Z200US99508,99508,860Z200US99508,Anchorage Municipality,0500000US02020,02,Alaska,2023
0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860Z200US99513,99513,860Z200US99513,Anchorage Municipality,0500000US02020,02,Alaska,2023
21879,10920,10959,99.6,1383,1582,1251,1396,1307,3094,2971,2571,1699,1430,2142,924,129,37.6,5135,17228,16744,16123,4152,3195,18559,3320,13460,184,983,77,0,0,13,0,0,893,2572,12,0,1636,27,96,46,755,897,0,82,815,0,463,185,882,688,419,214,14,1910,1079,249,177,405,19969,12879,174,893,2572,897,30,59,2465,8137,15850,860Z200US99515,99515,860Z200US99515,Anchorage Municipality,0500000US02020,02,Alaska,2023
21208,10501,10707,98.1,914,1685,1502,1765,1177,1463,3823,2829,1251,1548,2508,623,120,40.9,5304,16726,15904,14893,4163,3251,18952,2256,15716,557,1140,0,16,0,0,0,30,1094,944,15,164,321,20,194,22,208,0,0,0,0,0,595,123,768,364,791,0,15,1620,944,103,80,493,19588,15270,557,1092,915,0,139,303,1312,7544,15439,860Z200US99516,99516,860Z200US99516,Anchorage Municipality,0500000US02020,02,Alaska,2023
16567,8388,8179,102.6,893,1052,959,906,897,2694,2350,2149,997,1232,1614,515,309,38.5,3427,13367,13140,12416,3095,2438,14871,1696,10465,679,1336,0,0,0,8,0,7,1321,1575,28,127,1102,0,144,9,165,491,15,139,337,0,325,361,472,259,107,11,16,1137,441,358,95,243,15430,10134,659,1321,1531,400,125,49,1211,7718,12747,860Z200US99517,99517,860Z200US99517,Anchorage Municipality,0500000US02020,02,Alaska,2023
9837,5143,4694,109.6,551,801,392,559,522,2642,1359,940,548,448,637,306,132,32.1,2189,7913,7648,7468,1410,1075,8161,1676,6090,677,502,0,0,0,24,0,5,473,432,0,25,258,0,88,0,61,17,0,0,17,0,443,104,735,249,245,21,70,1139,569,127,83,360,8698,5502,677,502,395,17,183,99,1323,4568,7394,860Z200US99518,99518,860Z200US99518,Anchorage Municipality,0500000US02020,02,Alaska,2023
