Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Aztec,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Maya,Native Village of Barrow Inupiat Traditional Government,Navajo Nation,Nome Eskimo Community,Other American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Total housing units,"Citizen, 18 and over population",GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year
405,225,180,125.0,55,52,20,43,50,78,20,30,29,13,12,3,0,23.7,150,270,255,227,21,15,399,6,0,0,393,0,0,0,0,0,0,393,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,405,0,0,393,6,0,0,3,3,81,249,860Z200US99681,99681,860Z200US99681,Bethel Census Area,0500000US02050,02,Alaska,2023
67,37,30,123.3,0,6,3,11,8,6,7,15,7,0,4,0,0,25.9,16,58,51,42,4,4,51,16,0,0,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,67,0,0,51,0,0,0,0,16,17,51,860Z200US99690,99690,860Z200US99690,Bethel Census Area,0500000US02050,02,Alaska,2023
422,207,215,96.3,47,21,17,21,10,85,67,37,27,37,33,14,6,36.6,94,334,328,315,64,53,349,73,183,5,119,0,0,0,0,0,0,119,30,8,0,20,2,0,0,0,0,0,0,0,0,12,0,52,17,4,0,0,33,3,27,0,3,389,181,5,112,30,0,12,0,49,334,328,860Z200US99613,99613,860Z200US99613,Bristol Bay Borough,0500000US02060,02,Alaska,2023
458,317,141,224.8,19,21,19,14,23,119,23,58,27,85,24,21,5,40.7,71,395,387,385,68,50,396,62,235,0,112,0,0,0,0,0,0,112,31,0,0,31,0,0,0,0,3,0,3,0,0,15,1,37,2,18,0,0,40,22,10,0,8,418,235,0,110,31,3,3,0,36,391,345,860Z200US99633,99633,860Z200US99633,Bristol Bay Borough,0500000US02060,02,Alaska,2023
66,36,30,120.0,0,0,0,0,2,14,9,8,4,7,14,8,0,55.0,0,66,66,66,28,22,50,16,13,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,4,6,0,0,0,0,0,0,0,0,66,13,0,28,0,9,0,0,16,129,66,860Z200US99670,99670,860Z200US99670,Bristol Bay Borough,0500000US02060,02,Alaska,2023
2517,1283,1234,104.0,164,154,135,159,164,365,263,227,214,221,356,76,19,37.8,542,2014,1975,1868,615,451,2207,310,1812,3,119,0,0,0,0,0,0,119,252,0,0,217,7,0,28,0,8,0,4,4,0,13,4,111,155,40,0,0,59,41,5,0,13,2458,1789,3,119,245,8,8,16,270,1340,1903,860Z200US99574,99574,860Z200US99574,Chugach Census Area,0500000US02063,02,Alaska,2023
23,12,11,109.1,0,0,5,0,0,7,0,1,3,0,4,3,0,33.8,5,18,18,18,7,7,23,0,1,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,22,0,0,0,0,0,60,18,860Z200US99677,99677,860Z200US99677,Chugach Census Area,0500000US02063,02,Alaska,2023
3935,2202,1733,127.1,221,217,293,210,204,621,672,499,266,337,270,81,44,39.3,837,3148,3098,2961,586,395,3552,383,3015,93,158,0,0,0,0,0,0,158,11,0,0,0,0,0,0,11,17,0,0,17,0,258,0,185,23,89,4,0,270,270,0,0,0,3665,3015,93,158,11,17,46,44,281,1961,3067,860Z200US99686,99686,860Z200US99686,Chugach Census Area,0500000US02063,02,Alaska,2023
489,228,261,87.4,77,22,35,19,24,86,62,45,15,46,40,14,4,32.1,144,351,345,335,80,58,451,38,225,0,22,0,0,0,0,0,0,22,156,0,56,89,11,0,0,0,43,7,0,36,0,5,2,22,4,4,1,0,30,26,0,0,4,459,207,0,22,156,43,3,0,28,341,323,860Z200US99693,99693,860Z200US99693,Chugach Census Area,0500000US02063,02,Alaska,2023
129,77,52,148.1,21,12,4,4,8,6,11,8,29,12,12,2,0,43.6,40,89,89,88,19,14,104,25,60,0,43,0,0,0,0,0,0,43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,129,60,0,43,1,0,0,0,25,235,89,860Z200US99566,99566,860Z200US99566,Copper River Census Area,0500000US02066,02,Alaska,2023
832,459,373,123.1,46,54,50,46,33,68,107,72,92,60,155,46,3,45.9,191,660,641,611,229,204,756,76,447,0,306,0,0,0,0,0,0,306,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,71,0,0,2,0,3,3,0,0,0,829,447,0,306,3,0,0,0,73,581,624,860Z200US99573,99573,860Z200US99573,Copper River Census Area,0500000US02066,02,Alaska,2023
430,222,208,106.7,23,25,19,11,4,37,29,36,29,43,102,65,7,60.2,78,360,352,348,204,174,394,36,218,0,173,0,0,0,0,0,0,173,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,430,218,0,173,3,0,0,3,33,587,352,860Z200US99586,99586,860Z200US99586,Copper River Census Area,0500000US02066,02,Alaska,2023
1138,526,612,85.9,83,89,123,66,26,100,130,203,54,106,103,41,14,39.9,345,822,793,776,228,158,1008,130,658,3,323,0,0,0,0,0,0,323,7,0,0,0,0,7,0,0,0,0,0,0,0,17,0,55,0,57,0,0,99,77,0,22,0,1039,653,3,323,7,0,0,0,53,1317,791,860Z200US99588,99588,860Z200US99588,Copper River Census Area,0500000US02066,02,Alaska,2023
4659,2709,1950,138.9,376,302,333,319,283,605,671,611,274,261,405,174,45,36.4,1228,3615,3431,3266,745,624,4299,360,4047,51,80,0,0,0,0,0,0,80,76,0,0,52,0,0,6,18,15,0,12,3,0,30,0,233,6,91,6,0,328,88,177,0,63,4331,3851,51,78,76,3,3,13,256,2442,3251,860Z200US99737,99737,860Z200US99737,Copper River Census Area,0500000US02066,02,Alaska,2023
1790,960,830,115.7,93,141,125,20,75,245,162,297,97,168,253,65,49,46.1,365,1428,1425,1406,461,367,1636,154,1121,0,456,0,0,0,0,0,0,456,59,0,0,39,0,0,0,20,0,0,0,0,0,0,0,109,26,18,0,0,73,18,0,0,55,1717,1066,0,456,59,0,0,0,136,984,1393,860Z200US99780,99780,860Z200US99780,Copper River Census Area,0500000US02066,02,Alaska,2023
35,35,0,-666666666.0,0,0,0,10,18,7,0,0,0,0,0,0,0,21.7,0,35,35,25,0,0,35,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,25,18,7,0,0,0,0,0,0,0,35,860Z200US99704,99704,860Z200US99704,Denali Borough,0500000US02068,02,Alaska,2023
121,73,48,152.1,4,2,3,4,0,18,15,4,9,2,25,30,5,64.5,10,112,111,108,61,60,104,17,87,1,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,2,5,5,0,0,0,116,87,1,13,0,0,0,0,15,233,111,860Z200US99729,99729,860Z200US99729,Denali Borough,0500000US02068,02,Alaska,2023
687,308,379,81.3,54,23,82,41,30,88,86,85,42,29,109,10,8,38.1,193,520,494,487,141,127,543,144,484,1,19,0,0,0,0,0,0,19,26,0,18,8,0,0,0,0,0,0,0,0,0,13,0,48,96,0,0,0,0,0,0,0,0,687,484,1,19,26,0,13,0,144,578,468,860Z200US99743,99743,860Z200US99743,Denali Borough,0500000US02068,02,Alaska,2023
125,58,67,86.6,2,13,13,7,6,7,23,13,8,11,21,1,0,43.2,35,95,90,89,28,22,115,10,112,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,4,0,0,0,4,121,112,0,3,0,0,0,0,6,121,90,860Z200US99744,99744,860Z200US99744,Denali Borough,0500000US02068,02,Alaska,2023
964,745,219,340.2,19,11,0,0,10,220,484,90,99,3,28,0,0,44.2,30,934,934,934,31,28,948,16,781,12,22,0,0,0,0,0,0,22,43,0,0,43,0,0,0,0,0,0,0,0,0,90,0,3,0,0,0,0,112,36,8,0,68,852,758,12,22,43,0,14,0,3,313,896,860Z200US99755,99755,860Z200US99755,Denali Borough,0500000US02068,02,Alaska,2023
800,373,427,87.4,55,60,49,36,63,80,89,108,38,31,133,53,5,40.8,186,620,614,599,213,191,714,86,510,0,204,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,24,4,20,0,0,776,509,0,181,0,0,0,0,86,595,614,860Z200US99760,99760,860Z200US99760,Denali Borough,0500000US02068,02,Alaska,2023
109,51,58,87.9,2,4,7,3,7,17,9,4,19,12,21,2,2,55.4,16,96,93,92,37,25,93,16,3,0,90,0,0,0,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,109,3,0,90,0,0,0,0,16,124,93,860Z200US99555,99555,860Z200US99555,Dillingham Census Area,0500000US02070,02,Alaska,2023
20,8,12,66.7,0,5,0,0,0,1,0,4,1,2,5,0,2,56.5,5,15,15,15,9,7,18,2,2,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,2,0,16,0,0,0,0,2,106,15,860Z200US99569,99569,860Z200US99569,Dillingham Census Area,0500000US02070,02,Alaska,2023
2464,1214,1250,97.1,211,227,220,180,158,384,299,182,140,240,171,35,17,30.7,771,1764,1693,1612,398,223,2138,326,568,3,1495,0,0,0,4,0,14,1477,70,33,0,29,7,1,0,0,0,0,0,0,0,2,0,235,11,15,15,5,134,105,15,0,14,2330,519,3,1449,70,0,2,0,287,1376,1643,860Z200US99576,99576,860Z200US99576,Dillingham Census Area,0500000US02070,02,Alaska,2023
35,14,21,66.7,2,0,4,2,2,7,0,3,6,1,3,5,0,52.5,8,27,27,27,8,8,31,4,1,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,35,1,0,30,0,0,0,0,4,32,27,860Z200US99580,99580,860Z200US99580,Dillingham Census Area,0500000US02070,02,Alaska,2023
693,341,352,96.9,61,78,50,61,55,109,68,55,45,22,71,18,0,28.1,229,487,464,438,96,89,639,54,59,0,580,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,20,0,0,20,0,0,0,20,673,59,0,580,0,0,0,0,34,252,458,860Z200US99628,99628,860Z200US99628,Dillingham Census Area,0500000US02070,02,Alaska,2023
466,280,186,150.5,42,36,49,40,26,78,35,90,17,6,32,12,3,30.0,150,332,316,293,51,47,405,61,7,1,397,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,10,10,0,0,0,456,7,1,387,0,0,0,0,61,108,316,860Z200US99636,99636,860Z200US99636,Dillingham Census Area,0500000US02070,02,Alaska,2023
993,559,434,128.8,96,83,75,54,77,141,77,109,66,20,145,38,12,33.3,296,721,697,669,207,195,960,33,93,26,830,0,0,0,0,0,0,830,11,0,0,5,0,6,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,993,93,26,830,11,0,0,0,33,352,695,860Z200US99678,99678,860Z200US99678,Dillingham Census Area,0500000US02070,02,Alaska,2023
17564,9262,8302,111.6,927,1431,1239,768,1406,3310,2198,1975,1036,766,1657,640,211,34.3,4055,13823,13509,13120,2938,2508,15049,2515,10610,919,2138,0,0,0,6,10,7,2115,971,11,151,314,23,390,0,82,160,0,19,141,0,251,195,1114,85,537,46,0,1210,641,262,1,306,16354,10351,885,2138,971,160,62,185,1602,8757,13038,860Z200US99701,99701,860Z200US99701,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
3200,1843,1357,135.8,412,666,178,69,558,876,392,25,5,0,0,8,11,22.1,1272,1936,1928,1737,19,19,2502,698,2242,176,9,0,0,0,0,0,0,9,31,0,6,6,0,16,0,3,0,0,0,0,0,44,293,16,77,159,13,0,455,358,79,0,18,2745,2119,176,0,31,0,6,4,409,910,1910,860Z200US99702,99702,860Z200US99702,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
8545,5123,3422,149.7,1293,621,356,510,2497,2416,611,182,59,0,0,0,0,22.7,2477,6246,6068,5297,0,0,7293,1252,5620,873,119,0,0,0,0,0,0,119,262,0,0,123,15,93,0,31,0,0,0,0,0,419,244,70,101,514,0,0,1163,750,282,44,87,7382,5137,854,51,262,0,261,86,731,2003,5960,860Z200US99703,99703,860Z200US99703,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
22281,12469,9812,127.1,1527,1440,1820,1399,1611,3872,3527,2009,1711,978,1416,816,155,32.9,5647,17131,16634,15698,2956,2387,19619,2662,17523,363,979,0,0,0,0,6,0,973,326,0,0,154,33,51,0,88,107,0,107,0,0,321,422,1135,376,379,20,14,1611,1025,233,25,328,20670,16754,322,905,315,107,60,86,2121,9091,16253,860Z200US99705,99705,860Z200US99705,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860Z200US99707,99707,860Z200US99707,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
29734,15656,14078,111.2,1996,1755,1603,1567,2222,4902,3977,3455,1149,1975,3678,1248,207,36.9,6484,23914,23250,22395,6243,5133,25083,4651,20165,1256,1992,0,0,0,55,0,3,1934,773,16,83,271,47,304,0,52,256,0,0,11,245,641,569,1003,1026,1380,46,110,2595,1516,218,0,861,27139,19425,1167,1872,773,256,78,632,2936,14227,22208,860Z200US99709,99709,860Z200US99709,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
12070,6364,5706,111.5,517,791,818,1008,603,1336,1777,1863,862,1084,1061,299,51,39.7,2690,9706,9380,8868,2143,1411,11069,1001,9346,81,1132,0,0,0,0,0,0,1132,288,1,30,33,86,5,0,133,55,0,55,0,0,167,133,470,116,95,0,0,592,346,54,0,192,11478,8987,81,1132,288,55,119,56,760,6037,9292,860Z200US99712,99712,860Z200US99712,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
1282,761,521,146.1,62,31,71,45,28,261,168,181,129,187,104,13,2,42.3,209,1110,1073,1073,248,119,1130,152,1062,16,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,26,0,95,0,0,122,0,32,0,90,1160,1018,16,45,0,0,0,24,57,1168,1066,860Z200US99714,99714,860Z200US99714,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
494,298,196,152.0,0,0,0,81,0,0,65,152,61,27,108,0,0,50.3,0,494,494,413,135,108,494,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,467,467,0,0,0,0,0,0,0,270,494,860Z200US99725,99725,860Z200US99725,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
800,373,427,87.4,55,60,49,36,63,80,89,108,38,31,133,53,5,40.8,186,620,614,599,213,191,714,86,510,0,204,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,24,4,20,0,0,776,509,0,181,0,0,0,0,86,595,614,860Z200US99760,99760,860Z200US99760,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
707,365,342,106.7,44,0,0,205,210,164,84,0,0,0,0,0,0,21.5,44,663,663,372,0,0,651,56,331,45,28,0,0,0,0,0,0,28,184,17,140,18,9,0,0,0,0,0,0,0,0,63,0,30,0,25,1,0,50,37,0,0,13,657,306,45,28,184,0,63,0,31,195,490,860Z200US99775,99775,860Z200US99775,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023
2166,1099,1067,103.0,62,136,171,117,30,116,211,367,156,217,370,187,26,51.8,476,1758,1690,1680,690,583,1925,241,1658,5,159,0,0,16,0,0,0,143,78,0,0,45,0,0,0,33,0,0,0,0,0,25,13,64,91,13,0,0,83,48,0,16,19,2083,1620,5,143,78,0,16,5,216,1470,1625,860Z200US99827,99827,860Z200US99827,Haines Borough,0500000US02100,02,Alaska,2023
0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860Z200US99850,99850,860Z200US99850,Haines Borough,0500000US02100,02,Alaska,2023
467,263,204,128.9,39,28,33,16,54,28,57,42,16,44,67,25,18,43.3,113,361,354,349,133,110,320,147,55,2,263,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,23,0,0,90,75,0,10,5,377,55,2,246,0,0,0,0,74,291,354,860Z200US99820,99820,860Z200US99820,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
13,6,7,85.7,0,0,0,0,0,0,0,0,0,0,13,0,0,-666666666.0,0,13,13,13,13,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,54,13,860Z200US99825,99825,860Z200US99825,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
610,319,291,109.6,3,8,44,60,39,37,31,107,64,51,84,76,6,51.5,90,544,520,482,200,166,574,36,545,0,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,14,0,0,11,0,0,11,0,599,545,0,29,0,0,0,3,22,457,515,860Z200US99826,99826,860Z200US99826,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
2166,1099,1067,103.0,62,136,171,117,30,116,211,367,156,217,370,187,26,51.8,476,1758,1690,1680,690,583,1925,241,1658,5,159,0,0,16,0,0,0,143,78,0,0,45,0,0,0,33,0,0,0,0,0,25,13,64,91,13,0,0,83,48,0,16,19,2083,1620,5,143,78,0,16,5,216,1470,1625,860Z200US99827,99827,860Z200US99827,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
894,555,339,163.7,40,40,28,15,63,170,80,107,92,54,152,49,4,46.5,110,786,784,767,245,205,642,252,354,18,230,0,0,0,0,0,0,230,36,0,0,21,0,0,0,15,4,0,4,0,0,0,12,140,5,41,5,0,108,76,32,0,0,786,338,7,230,36,4,0,0,171,395,756,860Z200US99829,99829,860Z200US99829,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
68,34,34,100.0,0,0,0,4,4,2,3,10,4,23,11,7,0,63.0,4,68,64,64,41,18,64,4,43,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,68,43,0,21,0,0,0,0,4,138,64,860Z200US99832,99832,860Z200US99832,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
172,96,76,126.3,0,6,5,4,0,0,7,27,11,17,76,9,10,65.3,15,157,157,157,108,95,160,12,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,41,12,0,0,29,131,131,0,0,0,0,0,0,0,259,157,860Z200US99841,99841,860Z200US99841,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023
29796,15228,14568,104.5,1445,1826,1767,1927,1488,4152,4570,3941,1879,2256,3088,1338,119,39.9,6083,24488,23713,22477,6058,4545,24784,5012,18844,222,2527,7,0,0,0,13,0,2507,2209,30,238,1651,49,55,0,186,438,0,4,119,315,544,272,1911,519,990,19,6,2041,1032,131,194,684,27755,18347,210,2454,2119,438,105,542,3540,13045,23092,860Z200US99801,99801,860Z200US99801,Juneau City and Borough,0500000US02110,02,Alaska,2023
2163,1112,1051,105.8,141,142,83,131,119,382,277,204,198,191,208,68,19,38.7,414,1781,1749,1640,416,295,1785,378,1447,14,207,0,0,0,0,0,0,207,94,14,0,55,4,0,0,21,5,5,0,0,0,18,2,203,29,75,7,0,185,85,3,51,46,1978,1399,14,205,91,5,0,13,251,1125,1677,860Z200US99824,99824,860Z200US99824,Juneau City and Borough,0500000US02110,02,Alaska,2023
2858,1566,1292,121.2,84,134,180,138,83,215,353,402,255,249,502,210,53,51.6,500,2425,2358,2316,889,765,2657,201,2503,4,77,0,0,0,0,0,0,77,32,0,4,28,0,0,0,0,4,4,0,0,0,37,4,80,11,91,0,0,120,84,13,4,19,2738,2453,0,77,28,0,32,46,102,1852,2346,860Z200US99556,99556,860Z200US99556,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
498,297,201,147.8,12,12,18,41,43,33,42,46,30,83,107,27,4,55.5,62,446,436,415,177,138,487,11,461,0,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,6,2,0,0,4,492,461,0,26,0,0,0,0,5,292,431,860Z200US99568,99568,860Z200US99568,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
244,102,142,71.8,19,21,0,0,0,73,3,64,42,0,22,0,0,45.9,40,204,204,204,22,22,165,79,162,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,0,0,0,0,244,162,0,0,3,0,0,0,79,344,201,860Z200US99572,99572,860Z200US99572,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
11557,5931,5626,105.4,769,673,781,635,596,1528,1476,1248,703,820,1591,535,202,39.7,2600,9192,8957,8575,2808,2328,10435,1122,9210,26,736,0,3,0,0,2,0,731,257,14,24,122,28,12,40,17,82,0,17,9,56,124,29,511,133,322,0,0,510,133,49,11,317,11047,9057,26,724,253,82,65,136,704,6251,8795,860Z200US99603,99603,860Z200US99603,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
48,32,16,200.0,0,0,0,0,0,9,8,11,0,0,20,0,0,51.6,0,48,48,48,20,20,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,209,39,860Z200US99605,99605,860Z200US99605,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
2307,1127,1180,95.5,130,53,152,148,191,128,274,273,145,255,492,65,1,49.2,435,1919,1872,1824,677,558,2002,305,1717,0,170,0,0,0,0,0,0,170,44,0,0,19,11,14,0,0,13,0,13,0,0,58,0,285,5,8,0,0,73,62,0,0,11,2234,1717,0,169,44,13,5,5,281,1553,1835,860Z200US99610,99610,860Z200US99610,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
16028,8466,7562,112.0,1066,1113,1267,956,949,2446,2059,1825,930,873,1588,777,179,36.1,4039,12338,11989,11503,3155,2544,13792,2236,11483,141,1311,0,0,0,0,0,0,1311,486,0,62,360,43,0,0,21,51,0,4,47,0,320,133,1157,296,278,13,0,1099,746,19,46,288,14929,11167,133,1309,486,51,28,59,1696,7130,11823,860Z200US99611,99611,860Z200US99611,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
101,70,31,225.8,0,0,0,5,0,54,0,8,0,28,0,6,0,26.9,0,101,101,96,34,6,82,19,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,8,0,0,0,93,74,0,0,0,0,0,19,0,185,93,860Z200US99631,99631,860Z200US99631,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
106,106,0,-666666666.0,0,0,0,0,3,40,54,9,0,0,0,0,0,43.2,0,106,106,104,0,0,105,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,104,104,0,0,0,0,0,0,0,54,106,860Z200US99635,99635,860Z200US99635,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
1244,622,622,100.0,108,50,69,56,42,98,94,92,96,130,232,149,28,55.9,256,998,988,955,511,409,1073,171,878,0,162,0,0,0,0,4,0,158,28,0,4,10,7,0,0,7,0,0,0,0,0,5,4,106,0,28,19,0,35,26,0,0,9,1209,870,0,158,28,0,5,19,129,1181,976,860Z200US99639,99639,860Z200US99639,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
385,192,193,99.5,15,9,21,25,0,32,20,59,18,33,86,67,0,56.6,53,340,332,315,165,153,326,59,240,0,70,0,0,0,0,0,0,70,5,0,0,5,0,0,0,0,0,0,0,0,0,11,0,35,7,17,0,0,10,0,0,0,10,375,240,0,64,5,0,7,17,42,389,332,860Z200US99663,99663,860Z200US99663,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
4296,2535,1761,144.0,185,192,391,223,45,738,622,523,216,478,517,42,124,43.2,969,3507,3327,3291,1031,683,3931,365,3306,69,409,0,0,0,0,0,0,409,23,0,0,2,0,21,0,0,27,0,5,22,0,97,38,188,28,99,6,1,148,4,0,20,124,4148,3296,69,409,23,27,0,59,265,2171,3248,860Z200US99664,99664,860Z200US99664,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
15722,7918,7804,101.5,747,942,918,1196,652,1892,1884,2003,1108,1515,1809,764,292,43.3,3370,12846,12352,11730,3491,2865,14420,1302,13261,97,528,0,16,0,0,0,0,512,222,7,36,103,26,30,20,0,0,0,0,0,0,312,89,715,0,346,0,0,479,252,32,17,178,15243,13094,97,528,222,0,249,211,842,8221,12163,860Z200US99669,99669,860Z200US99669,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
4153,2099,2054,102.2,245,429,141,142,148,372,554,454,198,391,757,262,60,45.5,913,3318,3240,3101,1287,1079,4016,137,3851,0,144,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,137,0,0,0,0,10,0,0,0,10,4143,3851,0,144,0,0,11,0,137,2670,3219,860Z200US99672,99672,860Z200US99672,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
296,187,109,171.6,5,17,19,19,68,39,43,33,18,27,5,2,1,29.5,52,249,244,232,23,8,249,47,11,0,202,0,2,0,0,0,2,198,0,0,0,0,0,0,0,0,20,0,0,11,9,16,0,16,0,3,0,0,47,33,13,0,1,249,8,0,194,0,20,0,3,24,174,244,860Z200US99682,99682,860Z200US99682,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023
